units_sold_clean,price_clean,discount_clean,units_returned_clean,revenue_clean,revenue_recalc,revenue_diff,revenue_mismatch_flag,date_clean,month_clean,location_clean,platform_clean,category_clean,dup_flag,issue_flag,data_error_flag,business_alert_flag,ratio,revenue_uplift
143,"31,98","0,03",2,"4573,14","4435,9458","137,1942",,6/01/2020,2020-01,CANADA,WALMART,Protein,FALSE,FALSE,FALSE,FALSE,"1,030927835","0,03092783505"
139,"42,51","0,04",0,"5908,89","5672,5344","236,3556",,6/01/2020,2020-01,UK,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
161,"12,91","0,25",0,"2078,51","1558,8825","519,6275",,6/01/2020,2020-01,CANADA,AMAZON,Omega,FALSE,FALSE,FALSE,FALSE,"1,333333333","0,3333333333"
140,"16,07","0,08",0,"2249,8","2069,816","179,984",,6/01/2020,2020-01,CANADA,WALMART,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,086956522","0,08695652174"
157,"35,47","0,25",3,"5568,79","4176,5925","1392,1975",,6/01/2020,2020-01,CANADA,IHERB,Performance,FALSE,FALSE,FALSE,FALSE,"1,333333333","0,3333333333"
154,"41,19","0,13",1,"6343,26","5518,6362","824,6238",,6/01/2020,2020-01,UK,WALMART,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,149425287","0,1494252874"
134,"32,49","0,05",1,"4353,66","4135,977","217,683",,6/01/2020,2020-01,UK,WALMART,Performance,FALSE,FALSE,FALSE,FALSE,"1,052631579","0,05263157895"
147,"46,68","0,19",0,"6861,96","5558,1876","1303,7724",,6/01/2020,2020-01,CANADA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,234567901","0,2345679012"
147,"10,96","0,06",2,"1611,12","1514,4528","96,6672",,6/01/2020,2020-01,USA,AMAZON,Protein,FALSE,FALSE,FALSE,FALSE,"1,063829787","0,06382978723"
134,"20,76",0,0,"2781,84","2781,84",0,,6/01/2020,2020-01,CANADA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,1,0
